appid,name,release_date,release_year,year_range,developer,publisher,free_to_play,virtual_reality_support,singleplayer,multiplayer,windows_support,mac_support,linux_support,required_age,categories,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,genres,value
218620,PAYDAY 2,2013-08-13,2013,2012 - 2015,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,TRUE,18,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases,Co-op;Action;FPS,1130,Positive,308657,56523,3975,890,10M to 20M,7.49,365180,Genre2,RPG
304930,Unturned,2017-07-07,2017,2016 - 2019,Smartly Dressed Games,Smartly Dressed Games,TRUE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor,Free to Play;Survival;Zombies,46,Positive,292574,31482,3248,413,20M to 50M,0,324056,Genre1,Action
304930,Unturned,2017-07-07,2017,2016 - 2019,Smartly Dressed Games,Smartly Dressed Games,TRUE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor,Free to Play;Survival;Zombies,46,Positive,292574,31482,3248,413,20M to 50M,0,324056,Genre2,Adventure
304930,Unturned,2017-07-07,2017,2016 - 2019,Smartly Dressed Games,Smartly Dressed Games,TRUE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor,Free to Play;Survival;Zombies,46,Positive,292574,31482,3248,413,20M to 50M,0,324056,Genre3,Casual
304930,Unturned,2017-07-07,2017,2016 - 2019,Smartly Dressed Games,Smartly Dressed Games,TRUE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor,Free to Play;Survival;Zombies,46,Positive,292574,31482,3248,413,20M to 50M,0,324056,Genre4,Free to Play
304930,Unturned,2017-07-07,2017,2016 - 2019,Smartly Dressed Games,Smartly Dressed Games,TRUE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor,Free to Play;Survival;Zombies,46,Positive,292574,31482,3248,413,20M to 50M,0,324056,Genre5,Indie
359550,Tom Clancy's Rainbow Six® Siege,2015-12-01,2015,2012 - 2015,Ubisoft Montreal,Ubisoft,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support,FPS;Multiplayer;Tactical,0,Positive,251178,59620,7504,2543,5M to 10M,16.99,310798,Genre1,Action
252490,Rust,2018-02-08,2018,2016 - 2019,Facepunch Studios,Facepunch Studios,FALSE,FALSE,FALSE,Online + Co-op,TRUE,TRUE,FALSE,18,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Survival;Crafting;Multiplayer,48,Positive,220370,53709,9352,2234,5M to 10M,27.79,274079,Genre1,Action
252490,Rust,2018-02-08,2018,2016 - 2019,Facepunch Studios,Facepunch Studios,FALSE,FALSE,FALSE,Online + Co-op,TRUE,TRUE,FALSE,18,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Survival;Crafting;Multiplayer,48,Positive,220370,53709,9352,2234,5M to 10M,27.79,274079,Genre2,Adventure
252490,Rust,2018-02-08,2018,2016 - 2019,Facepunch Studios,Facepunch Studios,FALSE,FALSE,FALSE,Online + Co-op,TRUE,TRUE,FALSE,18,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Survival;Crafting;Multiplayer,48,Positive,220370,53709,9352,2234,5M to 10M,27.79,274079,Genre3,Indie
