publisher,genre,sum(global_sales)
Capcom,Sports,0.44999999999999996
Nippon Columbia,Misc,0.44000000000000006
Codemasters,Simulation,0.44
Crystal Dynamics,Role-Playing,0.44
JoWood Productions,Role-Playing,0.44
Knowledge Adventure,Misc,0.44
SquareSoft,Racing,0.44
Tecmo Koei,Racing,0.44
Broccoli,Adventure,0.43
Focus Home Interactive,Puzzle,0.43
Oxygen Interactive,Sports,0.43
Tetris Online,Puzzle,0.43
ASCII Entertainment,Misc,0.42000000000000004
DTP Entertainment,Adventure,0.42000000000000004
ESP,Role-Playing,0.42
Global Star,Racing,0.42
Gotham Games,Sports,0.42
Psygnosis,Adventure,0.42
TYO,Racing,0.42
Game Factory,Misc,0.41000000000000003
Asylum Entertainment,Adventure,0.41
Knowledge Adventure,Adventure,0.41
Magical Company,Sports,0.41
Pioneer LDC,Racing,0.41
XS Games,Racing,0.41
Imagineer,Adventure,0.4
Jack of All Games,Platformer,0.4
Mindscape,Puzzle,0.4
NCS,Strategy,0.4
Success,Role-Playing,0.4
Brash Entertainment,Misc,0.39
"Destination Software, Inc",Racing,0.39
Majesco Entertainment,Platformer,0.39
Mastiff,Shooter,0.39
Mattel Interactive,Racing,0.39
Paradox Interactive,Strategy,0.39
Seta Corporation,Misc,0.39
Takara Tomy,Role-Playing,0.39
989 Sports,Sports,0.38
Electronic Arts Victor,Sports,0.38
Human Entertainment,Racing,0.38
Nihon Falcom Corporation,Action,0.38
Sammy Corporation,Simulation,0.38
Tecmo Koei,Misc,0.38
Zoo Digital Publishing,Adventure,0.38
bitComposer Games,Simulation,0.38
ASCII Entertainment,Strategy,0.37
Codemasters,Role-Playing,0.37
Conspiracy Entertainment,Action,0.37
Focus Home Interactive,Sports,0.37
Imagic,Action,0.37
Interplay,Racing,0.37
Knowledge Adventure,Sports,0.37
P2 Games,Misc,0.37
TDK Core,Action,0.37
Tomy Corporation,Action,0.37
Rising Star Games,Shooter,0.36000000000000004
ArtDink,Strategy,0.36
Astragon,Adventure,0.36
Atlus,Sports,0.36
Elf,Adventure,0.36
Focus Home Interactive,Racing,0.36
Laguna,Role-Playing,0.36
Media Rings,Sports,0.36
Midway Games,Adventure,0.36
Mindscape,Action,0.36
New,Fighting,0.36
Rocket Company,Role-Playing,0.36
Scholastic Inc.,Action,0.36
Zushi Games,Shooter,0.36
3DO,Adventure,0.35000000000000003
O-Games,Sports,0.35000000000000003
Takara Tomy,Misc,0.35000000000000003
Xplosiv,Puzzle,0.35000000000000003
BAM! Entertainment,Sports,0.35
Game Factory,Action,0.35
Ignition Entertainment,Role-Playing,0.35
Laguna,Action,0.35
Magix,Misc,0.35
Nihon Falcom Corporation,Role-Playing,0.35
Nobilis,Misc,0.35
Ocean,Racing,0.35
Performance Designed Products,Puzzle,0.35
AQ Interactive,Misc,0.34
Coleco,Shooter,0.34
ITT Family Games,Action,0.34
Shogakukan,Misc,0.34
Benesse,Misc,0.33
Hip Interactive,Action,0.33
Pioneer LDC,Adventure,0.33
Starpath Corp.,Action,0.33
Zoo Digital Publishing,Platformer,0.33
ASCII Entertainment,Simulation,0.32
BPS,Puzzle,0.32
City Interactive,Action,0.32
Destineer,Racing,0.32
Foreign Media Games,Puzzle,0.32
Human Entertainment,Simulation,0.32
Yacht Club Games,Platformer,0.32
Mattel Interactive,Adventure,0.31000000000000005
Agetec,Simulation,0.31
CBS Electronics,Action,0.31
CokeM Interactive,Action,0.31
D3Publisher,Simulation,0.31
Hackberry,Misc,0.31
Rebellion Developments,Shooter,0.31
SquareSoft,Shooter,0.31
SquareSoft,Simulation,0.31
Universal Interactive,Fighting,0.31
Victor Interactive,Simulation,0.31
Banpresto,Action,0.30000000000000004
Capcom,Strategy,0.3
Crave Entertainment,Platformer,0.3
GameMill Entertainment,Action,0.3
Idea Factory International,Action,0.3
Marvelous Interactive,Fighting,0.3
Mud Duck Productions,Sports,0.3
Natsume,Role-Playing,0.3
GSP,Puzzle,0.29000000000000004
Global Star,Platformer,0.29000000000000004
Human Entertainment,Adventure,0.29000000000000004
NEC,Role-Playing,0.29000000000000004
Screenlife,Role-Playing,0.29000000000000004
Angel Studios,Role-Playing,0.29
Black Bean Games,Misc,0.29
Marvelous Entertainment,Fighting,0.29
N/A,Strategy,0.29
Tecmo Koei,Shooter,0.29
Wargaming.net,Shooter,0.29
Broccoli,Action,0.28
Crave Entertainment,Simulation,0.28
Disney Interactive Studios,Shooter,0.28
Elf,Strategy,0.28
Hamster Corporation,Action,0.28
Majesco Entertainment,Fighting,0.28
Marvelous Entertainment,Role-Playing,0.28
Nichibutsu,Misc,0.28
O-Games,Misc,0.28
Ocean,Sports,0.28
Playmates,Racing,0.28
U.S. Gold,Sports,0.28
Daedalic,Adventure,0.27999999999999997
Gathering of Developers,Shooter,0.27999999999999997
Unknown,Fighting,0.27999999999999997
Jaleco,Strategy,0.27
Kadokawa Games,Action,0.27
Microprose,Simulation,0.27
