bigram,n,total_sentiment
magic attacks,33,negative
master difficulty,33,negative
pretty creepy,33,negative
randomly kill,33,negative
ridiculously boring,33,negative
significant bugs,33,negative
significant damage,33,negative
significant issues,33,negative
slowly killing,33,negative
stupid mistakes,33,negative
terrible worst,33,negative
weird lag,33,negative
whine whine,33,negative
awful lag,32,negative
awful waste,32,negative
bad waste,32,negative
bad worst,32,negative
boring hard,32,negative
breaking flaws,32,negative
broken crashes,32,negative
classic fallout,32,negative
clunky awkward,32,negative
decent loot,32,negative
die slowly,32,negative
enemy difficulty,32,negative
horrible terrible,32,negative
inconsistent difficulty,32,negative
killing bugs,32,negative
lag crashes,32,negative
lags badly,32,negative
positive negative,32,negative
pretty awkward,32,negative
randomly crashed,32,negative
sad joke,32,negative
slow enemies,32,negative
steady decline,32,negative
stuck unable,32,negative
suck bad,32,negative
terribly frustrating,32,negative
ugly mess,32,negative
unforgiving difficulty,32,negative
boring broken,31,negative
boring monotonous,31,negative
cheap enemies,31,negative
cons annoying,31,negative
dead boring,31,negative
enemy kill,31,negative
horrible enemy,31,negative
incoherent mess,31,negative
insanely buggy,31,negative
lose lose,31,negative
mindless hack,31,negative
panic attack,31,negative
pure boredom,31,negative
severe bugs,31,negative
shallow boring,31,negative
slow bad,31,negative
super dumb,31,negative
terribly repetitive,31,negative
unfairly difficult,31,negative
utterly bored,31,negative
weaker enemies,31,negative
win bad,31,negative
absurdly difficult,30,negative
annoying frustrating,30,negative
bad bug,30,negative
bad clunky,30,negative
bad glitches,30,negative
buggy bad,30,negative
buggy garbage,30,negative
bugs crashing,30,negative
cheap kills,30,negative
cons laggy,30,negative
crashes poor,30,negative
critical bug,30,negative
damn difficult,30,negative
dumb enemies,30,negative
embarrassingly bad,30,negative
error failed,30,negative
fairly disappointing,30,negative
fallen enemies,30,negative
falling damage,30,negative
lag stuttering,30,negative
laggy bad,30,negative
overkill shame,30,negative
painful death,30,negative
pretty cons,30,negative
pretty disapointing,30,negative
pretty trash,30,negative
randomly freezes,30,negative
severe disadvantage,30,negative
stupid waste,30,negative
support poor,30,negative
temper tantrum,30,negative
terrible fallout,30,negative
terrible grind,30,negative
terrible shame,30,negative
win bs,30,negative
worth suffering,30,negative
amazing cons,29,negative
cheap cheap,29,negative
cons weak,29,negative
damn laggy,29,negative
dead rip,29,negative
excruciatingly boring,29,negative
frustrating boring,29,negative
frustrating enemies,29,negative
frustrating slog,29,negative
frustrating waste,29,negative
fun boring,29,negative
glitches terrible,29,negative
incredibly ugly,29,negative
incredibly vague,29,negative
kill steal,29,negative
lag stutter,29,negative
poor plot,29,negative
pure greed,29,negative
stupid glitch,29,negative
super attacks,29,negative
super awkward,29,negative
super cheesy,29,negative
super disappointing,29,negative
supported overkill,29,negative
terrible broken,29,negative
terribly clunky,29,negative
terribly hard,29,negative
unfairly hard,29,negative
worst bug,29,negative
annoying boring,28,negative
awful bad,28,negative
bad lack,28,negative
buggy ugly,28,negative
cheap ripoff,28,negative
destroy enemy,28,negative
exceedingly difficult,28,negative
fatal crash,28,negative
freaking stupid,28,negative
humor cons,28,negative
incredibly lackluster,28,negative
incredibly lame,28,negative
instantly dying,28,negative
issues lag,28,negative
lag bad,28,negative
lags terribly,28,negative
loot grind,28,negative
nice break,28,negative
powerful enemy,28,negative
pretty lack,28,negative
pretty worthless,28,negative
pure bs,28,negative
pure grind,28,negative
randomly lose,28,negative
repetitive bad,28,negative
sloppy mess,28,negative
sorely mistaken,28,negative
stun enemies,28,negative
stupid error,28,negative
stutter lag,28,negative
super broken,28,negative
supporting overkill,28,negative
terrible laggy,28,negative
terrible slow,28,negative
terribly disappointing,28,negative
trust issues,28,negative
unbearable lag,28,negative
annoyingly repetitive,27,negative
awful bugs,27,negative
boring confusing,27,negative
broken enemy,27,negative
bugs freezes,27,negative
bugs stupid,27,negative
crap waste,27,negative
crashes waste,27,negative
critical flaws,27,negative
decent zombie,27,negative
dreadfully slow,27,negative
freezing issues,27,negative
frustrating issues,27,negative
fun dying,27,negative
horrible stuttering,27,negative
incredible lag,27,negative
incredibly awful,27,negative
issues terrible,27,negative
lags bad,27,negative
leak issues,27,negative
nice distraction,27,negative
painfully annoying,27,negative
pathetically weak,27,negative
pretty tired,27,negative
repetitive annoying,27,negative
ruining bugs,27,negative
sadly dissapointed,27,negative
sorely missed,27,negative
stale boring,27,negative
strange bug,27,negative
stupid pointless,27,negative
super weird,27,negative
terrible lack,27,negative
terrible loot,27,negative
unbelievably stupid,27,negative
unreasonably difficult,27,negative
unstable mess,27,negative
useless loot,27,negative
utterly dull,27,negative
utterly impossible,27,negative
woefully inadequate,27,negative
worst excuse,27,negative
amazingly boring,26,negative
annoying flaws,26,negative
bad buggy,26,negative
challenging difficulty,26,negative
cold cold,26,negative
consistent crashes,26,negative
distract enemies,26,negative
dull grind,26,negative
enemies fall,26,negative
error unknown,26,negative
errors bugs,26,negative
excuse plot,26,negative
fairly clunky,26,negative
fast attack,26,negative
fun hell,26,negative
horrendous lag,26,negative
incredibly unforgiving,26,negative
insane damage,26,negative
issues glitches,26,negative
lag kills,26,negative
laggy slow,26,negative
love bad,26,negative
odd bugs,26,negative
painful grind,26,negative
painfully difficult,26,negative
painfully hard,26,negative
pointless boring,26,negative
pretty horrendous,26,negative
pretty insane,26,negative
pretty rubbish,26,negative
pretty shoddy,26,negative
recommend dark,26,negative
ridiculously repetitive,26,negative
sadly ruined,26,negative
slow attacks,26,negative
strong enemy,26,negative
sucks sucks,26,negative
super attack,26,negative
tedious frustrating,26,negative
unbelievably slow,26,negative
uneven difficulty,26,negative
utterly crap,26,negative
utterly pathetic,26,negative
utterly wasted,26,negative
worst issue,26,negative
bad awful,25,negative
bad issues,25,negative
bad repetitive,25,negative
blatantly lied,25,negative
bloody boring,25,negative
boring poor,25,negative
bug crashes,25,negative
bugs boring,25,negative
crap boring,25,negative
crap worst,25,negative
destroy enemies,25,negative
easy hard,25,negative
enjoyable cons,25,negative
fatal bugs,25,negative
frustrating annoying,25,negative
frustrating difficulty,25,negative
garbage waste,25,negative
grossly overpriced,25,negative
horrible death,25,negative
incredibly stale,25,negative
insanely overpriced,25,negative
instantly crash,25,negative
invincible enemies,25,negative
invisible enemy,25,negative
kill zombie,25,negative
killing enemy,25,negative
lag poor,25,negative
latency issue,25,negative
monster attacks,25,negative
paradise lost,25,negative
plot bad,25,negative
plot boring,25,negative
pretty abysmal,25,negative
pretty angry,25,negative
pretty damned,25,negative
pretty dark,25,negative
randomly freeze,25,negative
repetitive dull,25,negative
ridiculously annoying,25,negative
ridiculously cheap,25,negative
severe stuttering,25,negative
silly bugs,25,negative
stupid morons,25,negative
stupidly expensive,25,negative
stutter stutter,25,negative
stuttering issue,25,negative
stuttering lag,25,negative
sucks worst,25,negative
support terrible,25,negative
unbelievably frustrating,25,negative
unexpected error,25,negative
useless waste,25,negative
utterly devoid,25,negative
worst crime,25,negative
worst lag,25,negative
bad mistake,24,negative
bloody stupid,24,negative
boring cliche,24,negative
buggy frustrating,24,negative
buggy incomplete,24,negative
bugs ruined,24,negative
challenging cons,24,negative
cons lacks,24,negative
critical error,24,negative
dark gritty,24,negative
easy repetitive,24,negative
error crashes,24,negative
evil dead,24,negative
exceptionally boring,24,negative
fails utterly,24,negative
fairly complex,24,negative
fairly frustrating,24,negative
false difficulty,24,negative
fast attacks,24,negative
fast boring,24,negative
free knife,24,negative
fun enemies,24,negative
fun losing,24,negative
horrible broken,24,negative
horrible bug,24,negative
horrible worst,24,negative
incredibly steep,24,negative
insultingly bad,24,negative
intriguing plot,24,negative
kill stealing,24,negative
limit break,24,negative
love dungeon,24,negative
loved dark,24,negative
mindlessly killing,24,negative
monster kill,24,negative
nasty bugs,24,negative
powerful attack,24,negative
pretentious garbage,24,negative
pretty brutal,24,negative
pretty hefty,24,negative
pretty vague,24,negative
realistic difficulty,24,negative
ridiculous damage,24,negative
ridiculously broken,24,negative
ridiculously buggy,24,negative
sincerely regret,24,negative
slowly kill,24,negative
solid object,24,negative
stupid dumb,24,negative
super bland,24,negative
survival difficulty,24,negative
terrible joke,24,negative
untimely death,24,negative
useless garbage,24,negative
utterly annoying,24,negative
worst crap,24,negative
awful horrible,23,negative
bad zombie,23,negative
bland enemies,23,negative
boring trash,23,negative
broken boring,23,negative
broken enemies,23,negative
clunky ugly,23,negative
cons worst,23,negative
crashing crashing,23,negative
die lose,23,negative
difficult enemy,23,negative
easier difficulties,23,negative
elite difficulty,23,negative
engaging plot,23,negative
enjoy difficult,23,negative
error unable,23,negative
fair difficulty,23,negative
fat lie,23,negative
frustratingly stupid,23,negative
fun difficulty,23,negative
glitches poor,23,negative
hard crashed,23,negative
hopelessly broken,23,negative
horrible clunky,23,negative
incredibly flawed,23,negative
incredibly misleading,23,negative
incredibly obnoxious,23,negative
incredibly sluggish,23,negative
inevitable death,23,negative
inflict damage,23,negative
instantly crashed,23,negative
issues plague,23,negative
kill die,23,negative
lags bugs,23,negative
mediocre plot,23,negative
pretty cliche,23,negative
pretty harsh,23,negative
pretty irritating,23,negative
pretty screwed,23,negative
repetitive enemy,23,negative
repetitive slow,23,negative
repetitive tedious,23,negative
revenge plot,23,negative
slow buggy,23,negative
slow burn,23,negative
slow dull,23,negative
strange bugs,23,negative
