bigram,n,total_sentiment
sluggish kill,1,negative
sluggish lack,1,negative
sluggish lagging,1,negative
sluggish laggy,1,negative
sluggish lame,1,negative
sluggish nonsense,1,negative
sluggish numb,1,negative
sluggish ruined,1,negative
sluggish slog,1,negative
sluggish sloppy,1,negative
sluggish slowed,1,negative
sluggish sluggish,1,negative
sluggish tank,1,negative
sluggish ugly,1,negative
sluggish vent,1,negative
sluggish wasted,1,negative
sluggish worst,1,negative
sly creepy,1,negative
sly criticism,1,negative
sly hard,1,negative
smack dead,1,negative
smack enemies,1,negative
smack foul,1,negative
smack freeze,1,negative
smart arrogant,1,negative
smart attacks,1,negative
smart bad,1,negative
smart bugs,1,negative
smart insane,1,negative
smart opponent,1,negative
smart plot,1,negative
smart roadblocks,1,negative
smart sarcastic,1,negative
smart trap,1,negative
smart trick,1,negative
smart unbelievably,1,negative
smarter complex,1,negative
smarter cons,1,negative
smarter enemy,1,negative
smarter sticky,1,negative
smartly trick,1,negative
smash crush,1,negative
smash destroy,1,negative
smash die,1,negative
smash frenzy,1,negative
smash grind,1,negative
smash hack,1,negative
smash kill,1,negative
smash lack,1,negative
smash opposition,1,negative
smash randomly,1,negative
smash tanks,1,negative
smash terrible,1,negative
smash violently,1,negative
smash weird,1,negative
smell bias,1,negative
smell horrible,1,negative
smell rip,1,negative
smell terrible,1,negative
smell terribly,1,negative
smell trouble,1,negative
smell wretched,1,negative
smelled burning,1,negative
smelled dead,1,negative
smelled rotten,1,negative
smelling badly,1,negative
smelling foulness,1,negative
smelling gross,1,negative
smells funny,1,negative
smells painfully,1,negative
smells stale,1,negative
smells suspiciously,1,negative
smelly blah,1,negative
smelly crap,1,negative
smelly creepy,1,negative
smelly dirt,1,negative
smelly dirty,1,negative
smelly disgusting,1,negative
smelly fat,1,negative
smelly junk,1,negative
smelly nasty,1,negative
smelly painful,1,negative
smelly pigs,1,negative
smelly slap,1,negative
smelly smell,1,negative
smelly smelly,1,negative
smile scarred,1,negative
smiles cons,1,negative
smiles funnily,1,negative
smiles irony,1,negative
smiling idiot,1,negative
smoke alarm,1,negative
smoke boring,1,negative
smoke dead,1,negative
smoke delay,1,negative
smoke enemies,1,negative
smoke fat,1,negative
smoke horrible,1,negative
smoke poison,1,negative
smoke tanks,1,negative
smoldering ruin,1,negative
smooth attacks,1,negative
smooth bland,1,negative
smooth bug,1,negative
smooth challenging,1,negative
smooth crappy,1,negative
smooth crash,1,negative
smooth criminal,1,negative
smooth dark,1,negative
smooth destruction,1,negative
smooth difficult,1,negative
smooth frost,1,negative
smooth hard,1,negative
smooth heck,1,negative
smooth jittery,1,negative
smooth needless,1,negative
smooth overkill,1,negative
smooth poor,1,negative
smooth rip,1,negative
smooth sad,1,negative
smooth sadly,1,negative
smooth simplistic,1,negative
smooth tanks,1,negative
smooth tricky,1,negative
smooth ugly,1,negative
smooth unfriendly,1,negative
smooth utterly,1,negative
smooth zombie,1,negative
smoother stuttering,1,negative
smoother wild,1,negative
smoothly boring,1,negative
smoothly breaking,1,negative
smoothly dead,1,negative
smoothly delay,1,negative
smoothly disappointment,1,negative
smoothly dragging,1,negative
smoothly enemy,1,negative
smoothly evil,1,negative
smoothly glitches,1,negative
smoothly grind,1,negative
smoothly hard,1,negative
smoothly poor,1,negative
smoothly randomly,1,negative
smoothly shame,1,negative
smouldering mess,1,negative
smudged blurred,1,negative
smug arrogant,1,negative
smug bloody,1,negative
smug crass,1,negative
smug idiocy,1,negative
smug liar,1,negative
smug misunderstood,1,negative
smug pretentious,1,negative
smug stupid,1,negative
smut bait,1,negative
snag crash,1,negative
snagging franticly,1,negative
snarky combative,1,negative
snarky cynical,1,negative
snarky dark,1,negative
snarky garbage,1,negative
snarky rude,1,negative
snarky sarcasm,1,negative
snarl growl,1,negative
snazzy knife,1,negative
sneak damage,1,negative
sneak fail,1,negative
sneak killing,1,negative
sneak knife,1,negative
sneak penalty,1,negative
sneak steal,1,negative
sneak useless,1,negative
sneakily killing,1,negative
sneaky boring,1,negative
sneaky dirtbag,1,negative
sneaky disable,1,negative
sneaky enemy,1,negative
sneaky killing,1,negative
sneaky lack,1,negative
sneaky loud,1,negative
sneaky shady,1,negative
sneaky shame,1,negative
sneaky tension,1,negative
sneaky trick,1,negative
sneering cynicism,1,negative
sneering hissing,1,negative
snobby unhelpful,1,negative
snobs obscure,1,negative
sober drunk,1,negative
sober unfriendly,1,negative
soft blurry,1,negative
soft bumps,1,negative
soft cheater,1,negative
soft comical,1,negative
soft crap,1,negative
soft death,1,negative
soft difficulty,1,negative
soft freezes,1,negative
soft hum,1,negative
soft limitation,1,negative
soft limited,1,negative
soft loot,1,negative
soft loud,1,negative
soft missed,1,negative
soft mystery,1,negative
soft negative,1,negative
soft sad,1,negative
soft splitting,1,negative
soft sucks,1,negative
softer damage,1,negative
solemn disappointment,1,negative
solid annoyingly,1,negative
solid attack,1,negative
solid beware,1,negative
solid blah,1,negative
solid blow,1,negative
solid bugs,1,negative
solid burn,1,negative
solid carnage,1,negative
solid chaotic,1,negative
solid complex,1,negative
solid creepy,1,negative
solid criticisms,1,negative
solid daunting,1,negative
solid disappointment,1,negative
solid excuse,1,negative
solid fallout,1,negative
solid fanatic,1,negative
solid funnily,1,negative
solid funny,1,negative
solid glitch,1,negative
solid hate,1,negative
solid horrible,1,negative
solid ignore,1,negative
solid invisible,1,negative
solid issue,1,negative
solid killed,1,negative
solid lacks,1,negative
solid loot,1,negative
solid lost,1,negative
solid mess,1,negative
solid murder,1,negative
solid mystery,1,negative
solid noise,1,negative
solid poor,1,negative
solid punch,1,negative
solid ripoff,1,negative
solid scratch,1,negative
solid slowly,1,negative
solid slug,1,negative
solid strike,1,negative
solid terrible,1,negative
solid twist,1,negative
solid violent,1,negative
solid waste,1,negative
solid weaknesses,1,negative
solid wildly,1,negative
solidarity unfinished,1,negative
somber lonely,1,negative
somber spooky,1,negative
somber subdued,1,negative
somber tense,1,negative
sophisticated bomb,1,negative
sophisticated fallout,1,negative
sophisticated issues,1,negative
sophisticated jam,1,negative
sophisticated trash,1,negative
sore annoyance,1,negative
sore losing,1,negative
sore waste,1,negative
sorely addicted,1,negative
sorely burned,1,negative
sorely detrimental,1,negative
sorely disappoints,1,negative
sorely dissappointing,1,negative
sorely fails,1,negative
sorely incomplete,1,negative
sorely lacked,1,negative
sorely lackluster,1,negative
sorely mediocre,1,negative
sorely neglected,1,negative
sorely pointless,1,negative
sorely repetitive,1,negative
sorely tricked,1,negative
sorely upset,1,negative
sorrow grim,1,negative
sorrow hatred,1,negative
soundly disappointed,1,negative
soundly dissapointed,1,negative
soundly spoiled,1,negative
sour bitter,1,negative
sour brute,1,negative
sour foul,1,negative
sour hypocritical,1,negative
sour malcontent,1,negative
sour unfulfilled,1,negative
sourly lacking,1,negative
spank furiously,1,negative
sparkling object,1,negative
spectacular attacks,1,negative
spectacular bad,1,negative
spectacular bugs,1,negative
spectacular crashing,1,negative
spectacular crime,1,negative
spectacular downgrade,1,negative
spectacular failures,1,negative
spectacular inability,1,negative
spectacular inadequacy,1,negative
spectacular lack,1,negative
spectacular lag,1,negative
spectacular rusty,1,negative
spectacular stupid,1,negative
spectacular wrong,1,negative
spectacularly awful,1,negative
spectacularly badly,1,negative
spectacularly bland,1,negative
spectacularly boring,1,negative
spectacularly cringe,1,negative
spectacularly failed,1,negative
spectacularly fails,1,negative
spectacularly hollow,1,negative
spectacularly inept,1,negative
spectacularly lackluster,1,negative
spectacularly miss,1,negative
spectacularly pathetic,1,negative
spectacularly pointless,1,negative
spectacularly poor,1,negative
spectacularly redundant,1,negative
spectacularly rip,1,negative
spectacularly unlucky,1,negative
speedy attack,1,negative
speedy enemies,1,negative
speedy hack,1,negative
speedy slaughter,1,negative
spew childish,1,negative
spew hate,1,negative
spew obnoxious,1,negative
spew unnecessary,1,negative
spewing bad,1,negative
spewing bugs,1,negative
spewing gibberish,1,negative
spewing insults,1,negative
spewing mess,1,negative
spewing pimple,1,negative
spewing slow,1,negative
spewing smoke,1,negative
spewing stooge,1,negative
spewing trash,1,negative
spewing venom,1,negative
spews lies,1,negative
spews profanity,1,negative
spilling dirt,1,negative
spinster dies,1,negative
spirited rude,1,negative
spiritless ignoble,1,negative
spiritual conspiracy,1,negative
spiritual enemies,1,negative
spiritual fallout,1,negative
spiritual nonsense,1,negative
spite greasy,1,negative
spite spite,1,negative
spiteful arrogant,1,negative
spiteful bitter,1,negative
spiteful hard,1,negative
spiteful poor,1,negative
spiteful venomous,1,negative
spitefully difficult,1,negative
splatter death,1,negative
splatter zombie,1,negative
splendid issue,1,negative
splendid sadly,1,negative
splendid shroud,1,negative
splendidly mad,1,negative
split depression,1,negative
split disappointing,1,negative
split garbage,1,negative
split loot,1,negative
split losing,1,negative
split offensive,1,negative
split plot,1,negative
split rail,1,negative
split terrible,1,negative
splitting enemies,1,negative
splitting enemy,1,negative
splitting headaches,1,negative
spoil fallout,1,negative
spoil shame,1,negative
spoil untimely,1,negative
spoiled bugs,1,negative
spoiled dumb,1,negative
spoiled impatient,1,negative
spoiled infamously,1,negative
spoiled plot,1,negative
spoiled rant,1,negative
spoiled sucker,1,negative
spoiled whiny,1,negative
spoiled wretch,1,negative
spoils ruined,1,negative
spoils slower,1,negative
spontaneous breakdown,1,negative
spontaneous death,1,negative
spontaneous difficulty,1,negative
spontaneous drunk,1,negative
spontaneous outbursts,1,negative
spontaneous vomiting,1,negative
spook addict,1,negative
spook attack,1,negative
spook cringe,1,negative
spook killed,1,negative
spookier noises,1,negative
spooky bugs,1,negative
spooky creepy,1,negative
spooky death,1,negative
spooky dilapidated,1,negative
spooky dungeon,1,negative
spooky enemies,1,negative
spooky funny,1,negative
spooky isolated,1,negative
spooky issues,1,negative
spooky killer,1,negative
spooky missed,1,negative
spooky mist,1,negative
spooky noise,1,negative
spooky pimple,1,negative
spooky sarcasm,1,negative
spooky spook,1,negative
spooky twist,1,negative
spooky violent,1,negative
sporadic aimless,1,negative
sporadic bugs,1,negative
sporadic crash,1,negative
sporadic crashes,1,negative
sporadic death,1,negative
sporadic distraction,1,negative
sporadic glitch,1,negative
sporadic plot,1,negative
sporadic pointless,1,negative
sporadic tense,1,negative
spotty enemies,1,negative
spotty issue,1,negative
spotty jumpy,1,negative
spotty object,1,negative
squabbling idiots,1,negative
squash bug,1,negative
squash enemies,1,negative
squeaky bs,1,negative
squeaky nauseating,1,negative
squealing mess,1,negative
squealing pig,1,negative
stab bash,1,negative
stab flaw,1,negative
stab fleeing,1,negative
stab hack,1,negative
stab kills,1,negative
stab skeletons,1,negative
stab smash,1,negative
stab unsuspecting,1,negative
stability buggy,1,negative
stability crap,1,negative
stability crashing,1,negative
stability disaster,1,negative
stability dungeon,1,negative
stability freezing,1,negative
stability horrendous,1,negative
stability horrid,1,negative
stability lag,1,negative
stability lags,1,negative
stability lie,1,negative
stability recoil,1,negative
stability unclear,1,negative
stability utterly,1,negative
stabilize glitch,1,negative
stable boring,1,negative
stable bug,1,negative
stable lag,1,negative
stable lagging,1,negative
stable mediocre,1,negative
stable negative,1,negative
stable odd,1,negative
stable pathetic,1,negative
stable slave,1,negative
stable stagnant,1,negative
stable tank,1,negative
stable tired,1,negative
stable unstable,1,negative
stable warning,1,negative
stable worst,1,negative
stagnant lackluster,1,negative
stagnant object,1,negative
stagnate enemies,1,negative
stagnation poor,1,negative
stain damn,1,negative
stain smear,1,negative
stainless steal,1,negative
stale buggy,1,negative
stale bugs,1,negative
stale chaos,1,negative
stale cliche,1,negative
stale crap,1,negative
stale dire,1,negative
stale dying,1,negative
stale fist,1,negative
stale frown,1,negative
stale hacks,1,negative
stale insanity,1,negative
stale killing,1,negative
stale lacks,1,negative
stale limited,1,negative
stale mess,1,negative
stale monotonous,1,negative
stale shallow,1,negative
stale stiff,1,negative
stale stuffy,1,negative
stale terrible,1,negative
stale unforgiving,1,negative
stale utterly,1,negative
stale worse,1,negative
stalemate lack,1,negative
stalemate sadly,1,negative
stall bad,1,negative
stall enemies,1,negative
stall faze,1,negative
stall freezes,1,negative
stall unable,1,negative
stalls badly,1,negative
stalls crashes,1,negative
standout cons,1,negative
standout issue,1,negative
standstill confused,1,negative
standstill enemy,1,negative
stark bleak,1,negative
stark boring,1,negative
stark contradiction,1,negative
stark dissonance,1,negative
stark drab,1,negative
stark negative,1,negative
stark neglect,1,negative
stark seriousness,1,negative
stark terror,1,negative
startle noise,1,negative
startling enemies,1,negative
startling issue,1,negative
startlingly bad,1,negative
startlingly difficult,1,negative
startlingly incomplete,1,negative
startlingly stiff,1,negative
startlingly ugly,1,negative
starvation bleeding,1,negative
starvation cold,1,negative
starvation death,1,negative
starvation depression,1,negative
starvation lame,1,negative
starvation suffer,1,negative
starve boring,1,negative
starve cons,1,negative
starve death,1,negative
starve die,1,negative
starve horde,1,negative
static bland,1,negative
static bomb,1,negative
static dead,1,negative
static hard,1,negative
static hiss,1,negative
static lame,1,negative
static lazy,1,negative
static limited,1,negative
static loot,1,negative
static lurking,1,negative
static matte,1,negative
static puppet,1,negative
static rigid,1,negative
static shallow,1,negative
static shock,1,negative
static simplistic,1,negative
static static,1,negative
static tank,1,negative
static trap,1,negative
static warp,1,negative
static worse,1,negative
staunchly refuse,1,negative
staunchly refusing,1,negative
steadfastly refused,1,negative
steadfastly refusing,1,negative
steady cheap,1,negative
steady cons,1,negative
steady creep,1,negative
steady death,1,negative
steady downhill,1,negative
steady freezes,1,negative
steady grind,1,negative
steady intense,1,negative
steady losses,1,negative
steady pity,1,negative
steady slow,1,negative
steal attack,1,negative
steal blackmail,1,negative
steal crap,1,negative
steal enemies,1,negative
steal hard,1,negative
steal mediocrity,1,negative
steal messing,1,negative
steal murder,1,negative
steal object,1,negative
steal randomly,1,negative
steal ripoff,1,negative
steal silly,1,negative
steal sneak,1,negative
steal weed,1,negative
stealing bug,1,negative
stealing crashes,1,negative
stealing creep,1,negative
stealing dark,1,negative
stealing expensive,1,negative
stealing fake,1,negative
stealing hating,1,negative
stealing illegal,1,negative
stealing imaginary,1,negative
stealing insulting,1,negative
stealing object,1,negative
stealing shamelessly,1,negative
stealing slow,1,negative
stealing tanks,1,negative
stealing useless,1,negative
stealing worse,1,negative
steals enemies,1,negative
steep brutal,1,negative
steep declining,1,negative
steep difficult,1,negative
steep downfall,1,negative
steep enemies,1,negative
steep greasy,1,negative
steep impossible,1,negative
steep lack,1,negative
steep limitations,1,negative
steep loss,1,negative
steep penalty,1,negative
steep poor,1,negative
steep rail,1,negative
steep unforgiving,1,negative
steep warning,1,negative
steeply limited,1,negative
steeply overpriced,1,negative
stellar fall,1,negative
stellar lack,1,negative
stellar plot,1,negative
stellar repetitive,1,negative
stellar unknown,1,negative
stellarly bad,1,negative
stellarly dull,1,negative
stench curse,1,negative
stereotype cliche,1,negative
stereotype cry,1,negative
stereotype horrendous,1,negative
stereotype lacking,1,negative
stereotypical arcane,1,negative
stereotypical bitter,1,negative
stereotypical bore,1,negative
stereotypical bs,1,negative
stereotypical bug,1,negative
stereotypical cliche,1,negative
stereotypical crap,1,negative
stereotypical crappy,1,negative
stereotypical creepy,1,negative
stereotypical dumb,1,negative
stereotypical dungeon,1,negative
stereotypical enemies,1,negative
stereotypical helpless,1,negative
stereotypical idiots,1,negative
stereotypical irrational,1,negative
stereotypical junk,1,negative
stereotypical lackluster,1,negative
stereotypical maniac,1,negative
stereotypical mock,1,negative
stereotypical nagging,1,negative
stereotypical nuisance,1,negative
stereotypical pandering,1,negative
stereotypical rebellious,1,negative
stereotypical ridiculous,1,negative
stereotypical rogue,1,negative
stereotypical terribly,1,negative
stereotypical tramp,1,negative
stereotypical whiny,1,negative
stereotypically bad,1,negative
stereotypically dark,1,negative
stereotypically evil,1,negative
stereotypically mediocre,1,negative
sticky attack,1,negative
sticky bug,1,negative
sticky buggy,1,negative
sticky burn,1,negative
sticky delayed,1,negative
sticky evil,1,negative
sticky frustrating,1,negative
sticky issue,1,negative
sticky jagged,1,negative
sticky noises,1,negative
sticky slime,1,negative
stiff absurd,1,negative
stiff archaic,1,negative
stiff attacks,1,negative
stiff bad,1,negative
stiff bland,1,negative
stiff challenging,1,negative
stiff crap,1,negative
stiff cumbersome,1,negative
stiff frustrating,1,negative
stiff hard,1,negative
stiff horrible,1,negative
stiff limited,1,negative
stiff messing,1,negative
stiff mindless,1,negative
stiff penalty,1,negative
stiff plot,1,negative
stiff sluggish,1,negative
stiff stereotypical,1,negative
stiff unnatural,1,negative
stiff unreliable,1,negative
stifling hard,1,negative
stiflingly limited,1,negative
stigma broken,1,negative
stimulate bad,1,negative
stimulating cons,1,negative
stimulating creepy,1,negative
stimulating falls,1,negative
stinging nettle,1,negative
stingy appallingly,1,negative
stingy dungeon,1,negative
stingy lazy,1,negative
stingy loot,1,negative
stink bad,1,negative
stink badly,1,negative
stink bait,1,negative
stink bomb,1,negative
stinks bad,1,negative
stinks badly,1,negative
stinks boring,1,negative
stinks hard,1,negative
stinks stupid,1,negative
stinks terribly,1,negative
stodgy mess,1,negative
stole dark,1,negative
stole weed,1,negative
stolen badly,1,negative
stolen broken,1,negative
stolen enemies,1,negative
stolen hell,1,negative
stolen invalid,1,negative
stolen invisible,1,negative
stolen kills,1,negative
stolen lack,1,negative
stolen losing,1,negative
stolen racism,1,negative
stolen rip,1,negative
stolen rotten,1,negative
stolen trash,1,negative
stormy raging,1,negative
straightforward annoying,1,negative
straightforward bland,1,negative
straightforward boring,1,negative
straightforward disapointing,1,negative
straightforward horde,1,negative
straightforward insulting,1,negative
straightforward poorly,1,negative
straightforward rail,1,negative
straightforward repetitive,1,negative
straightforward revenge,1,negative
straightforward terrible,1,negative
straightforward uncreative,1,negative
straightforward weirdly,1,negative
strain bad,1,negative
strain blurry,1,negative
strain disorder,1,negative
strain headaches,1,negative
strain thirst,1,negative
strained burning,1,negative
strained fat,1,negative
strained stupid,1,negative
strange abrupt,1,negative
strange alarm,1,negative
strange annoying,1,negative
strange awful,1,negative
strange backward,1,negative
strange bizarre,1,negative
strange blurred,1,negative
strange blurry,1,negative
strange bumps,1,negative
strange challenging,1,negative
strange chaotic,1,negative
strange choppy,1,negative
strange conflicting,1,negative
strange confused,1,negative
strange cons,1,negative
strange crap,1,negative
strange crappy,1,negative
strange cringe,1,negative
strange criticism,1,negative
strange criticisms,1,negative
strange delay,1,negative
strange desolate,1,negative
strange dislocated,1,negative
strange dissonance,1,negative
strange distorted,1,negative
strange distract,1,negative
strange disturbing,1,negative
strange dragging,1,negative
strange drunk,1,negative
strange dumb,1,negative
strange egocentric,1,negative
strange emptiness,1,negative
strange fault,1,negative
strange faults,1,negative
strange fear,1,negative
strange fever,1,negative
strange flaw,1,negative
strange flickering,1,negative
strange frightening,1,negative
strange gripe,1,negative
strange gross,1,negative
strange grudge,1,negative
strange harmful,1,negative
strange harsh,1,negative
strange haunting,1,negative
strange haze,1,negative
strange hazy,1,negative
strange humming,1,negative
strange incomprehensible,1,negative
strange inconsistencies,1,negative
strange indecision,1,negative
strange jerky,1,negative
strange knife,1,negative
strange lags,1,negative
strange lame,1,negative
strange lawless,1,negative
strange limitations,1,negative
strange loot,1,negative
strange losing,1,negative
strange loud,1,negative
strange manipulation,1,negative
strange messed,1,negative
strange mistake,1,negative
strange mistakes,1,negative
strange mystery,1,negative
strange nitpick,1,negative
strange obscure,1,negative
strange oddly,1,negative
strange omission,1,negative
strange parody,1,negative
strange pointless,1,negative
strange punk,1,negative
strange rejects,1,negative
strange revenge,1,negative
strange ruins,1,negative
strange sack,1,negative
strange sad,1,negative
strange sadly,1,negative
strange scar,1,negative
strange shame,1,negative
strange smell,1,negative
strange sour,1,negative
strange squeaky,1,negative
strange stiffness,1,negative
strange suicide,1,negative
strange twisted,1,negative
strange ugly,1,negative
strange unappealing,1,negative
strange unfamiliar,1,negative
strange unnecessary,1,negative
strange unrealistic,1,negative
strange unsettling,1,negative
strange unwieldy,1,negative
strange useless,1,negative
strange vagueness,1,negative
strange villains,1,negative
strange violent,1,negative
strange warped,1,negative
strange wildly,1,negative
strange zombie,1,negative
strangely apathetic,1,negative
strangely biased,1,negative
strangely bland,1,negative
strangely blurred,1,negative
strangely blurry,1,negative
strangely boring,1,negative
strangely cheap,1,negative
strangely convoluted,1,negative
strangely damage,1,negative
strangely denied,1,negative
strangely devoid,1,negative
strangely fragmented,1,negative
strangely grainy,1,negative
strangely hostile,1,negative
strangely incompetent,1,negative
strangely inconsistent,1,negative
strangely ineffective,1,negative
strangely jumpy,1,negative
strangely lack,1,negative
strangely lifeless,1,negative
strangely loud,1,negative
strangely melancholy,1,negative
strangely opinionated,1,negative
strangely passive,1,negative
strangely poor,1,negative
strangely racist,1,negative
strangely restricted,1,negative
strangely restrictive,1,negative
strangely sticky,1,negative
strangely strike,1,negative
strangely tedious,1,negative
strangely twisted,1,negative
strangely underpowered,1,negative
strangely unfinished,1,negative
strangely unresponsive,1,negative
strangely upset,1,negative
strangely vague,1,negative
stranger issue,1,negative
stranger plot,1,negative
stranger worse,1,negative
strangest broken,1,negative
strangest bugs,1,negative
strangest flickering,1,negative
strangest glitches,1,negative
strangest issue,1,negative
strangest limitation,1,negative
strangest regret,1,negative
strangle enemies,1,negative
streamlined boredom,1,negative
streamlined crap,1,negative
streamlined dying,1,negative
streamlined enemies,1,negative
streamlined excessively,1,negative
streamlined fallen,1,negative
streamlined inconsistent,1,negative
streamlined lackluster,1,negative
streamlined mindless,1,negative
streamlined poor,1,negative
streamlined slap,1,negative
strenuous grind,1,negative
stress abusive,1,negative
stress addict,1,negative
stress affliction,1,negative
stress anxiety,1,negative
stress broken,1,negative
stress cons,1,negative
stress depression,1,negative
stress failed,1,negative
stress fatigue,1,negative
stress frustration,1,negative
stress gimmicks,1,negative
stress issue,1,negative
stress issues,1,negative
stress poor,1,negative
stress rage,1,negative
stress randomly,1,negative
stress shame,1,negative
stress trap,1,negative
stress trauma,1,negative
stressful chore,1,negative
stressful dark,1,negative
stressful dying,1,negative
stressful frustrating,1,negative
stressful galling,1,negative
stressful garbage,1,negative
stressful inanely,1,negative
stressful irritating,1,negative
stressful mess,1,negative
stressful nightmare,1,negative
stressful painfully,1,negative
stressful tedious,1,negative
stressful tense,1,negative
stressful torturous,1,negative
stressful waste,1,negative
stressfully hard,1,negative
stricken dead,1,negative
stricken enemy,1,negative
strict fail,1,negative
strict grind,1,negative
strict limitation,1,negative
strict lost,1,negative
strict uncompromising,1,negative
strictly awful,1,negative
strictly boring,1,negative
strictly hack,1,negative
strictly hate,1,negative
strictly ironic,1,negative
strictly limit,1,negative
strictly limits,1,negative
strictly negative,1,negative
strictly refuse,1,negative
strictly strained,1,negative
strictly unacceptable,1,negative
strictly wrong,1,negative
strident complaints,1,negative
strife racism,1,negative
strife strife,1,negative
strike abuse,1,negative
strike attacks,1,negative
strike blah,1,negative
strike blur,1,negative
strike bomb,1,negative
strike bug,1,negative
strike cancer,1,negative
strike critical,1,negative
strike disable,1,negative
strike doom,1,negative
strike inflict,1,negative
strike killed,1,negative
strike murderer,1,negative
strike nonsense,1,negative
strike offensive,1,negative
strike rage,1,negative
strike scratch,1,negative
strike stab,1,negative
strike unjust,1,negative
striking blow,1,negative
striking dark,1,negative
striking detriment,1,negative
striking flaw,1,negative
striking terror,1,negative
striking wounds,1,negative
strikingly bad,1,negative
strikingly bored,1,negative
strikingly break,1,negative
strikingly frightening,1,negative
strikingly intense,1,negative
strikingly unrealistic,1,negative
stringent limits,1,negative
strong blame,1,negative
strong blow,1,negative
strong blur,1,negative
strong brute,1,negative
strong bug,1,negative
strong cheap,1,negative
strong choke,1,negative
strong coarse,1,negative
strong cold,1,negative
strong complaints,1,negative
strong critic,1,negative
strong damage,1,negative
strong dangerous,1,negative
strong dark,1,negative
strong destroy,1,negative
strong die,1,negative
strong dilemma,1,negative
strong disadvantage,1,negative
strong disadvantages,1,negative
strong doubts,1,negative
strong downhill,1,negative
strong drawbacks,1,negative
strong dumb,1,negative
strong dungeons,1,negative
strong fallout,1,negative
strong fat,1,negative
strong fell,1,negative
strong flaws,1,negative
strong funny,1,negative
strong hack,1,negative
strong haze,1,negative
strong headache,1,negative
strong hype,1,negative
strong illusion,1,negative
strong impossible,1,negative
strong intense,1,negative
strong intimidating,1,negative
strong killing,1,negative
strong lacked,1,negative
strong lacks,1,negative
strong lags,1,negative
strong lonely,1,negative
strong loot,1,negative
strong negativity,1,negative
strong numb,1,negative
strong offensive,1,negative
strong offensively,1,negative
strong poison,1,negative
strong profanity,1,negative
strong restriction,1,negative
strong rhetoric,1,negative
strong sad,1,negative
strong sadly,1,negative
strong sarcasm,1,negative
strong scary,1,negative
strong shake,1,negative
strong siege,1,negative
strong slow,1,negative
strong sly,1,negative
strong static,1,negative
strong strike,1,negative
strong stumbles,1,negative
strong tanks,1,negative
strong tension,1,negative
strong uncomfortable,1,negative
strong warning,1,negative
strong weak,1,negative
strong wrong,1,negative
stronger barbarian,1,negative
stronger bitter,1,negative
stronger break,1,negative
stronger darker,1,negative
stronger difficulty,1,negative
stronger dungeons,1,negative
stronger fallen,1,negative
stronger foe,1,negative
stronger funny,1,negative
stronger hack,1,negative
stronger killed,1,negative
stronger killing,1,negative
stronger lacks,1,negative
stronger lame,1,negative
stronger monster,1,negative
stronger plot,1,negative
stronger punch,1,negative
stronger randomly,1,negative
stronger ridiculous,1,negative
stronger sucks,1,negative
stronger trapped,1,negative
stronger uncertain,1,negative
stronger weaker,1,negative
strongest bloody,1,negative
strongest damage,1,negative
strongest difficulty,1,negative
strongest killing,1,negative
strongest lifeless,1,negative
strongest negatives,1,negative
strongest pain,1,negative
strongest tank,1,negative
strongest tanks,1,negative
strongest trash,1,negative
strongest villian,1,negative
struck deaf,1,negative
struck weak,1,negative
struggle annoying,1,negative
struggle attack,1,negative
struggle needless,1,negative
struggle plight,1,negative
struggle rage,1,negative
struggle terribly,1,negative
struggle vainly,1,negative
struggles badly,1,negative
struggles excessively,1,negative
struggles hard,1,negative
struggling addict,1,negative
struggling desperately,1,negative
struggling freak,1,negative
struggling mess,1,negative
struggling powerless,1,negative
struggling slowly,1,negative
stubborn dishonest,1,negative
stubborn fool,1,negative
stubborn hard,1,negative
stubborn hater,1,negative
stubborn idiots,1,negative
stubborn pigs,1,negative
stubborn refusing,1,negative
stubbornly boring,1,negative
stubbornly difficult,1,negative
stubbornly distracting,1,negative
stubbornly limit,1,negative
stubbornly refused,1,negative
stubbornly refusing,1,negative
stubbornness falling,1,negative
stuck annoying,1,negative
stuck annoyingly,1,negative
stuck awful,1,negative
stuck bashing,1,negative
stuck bored,1,negative
stuck boredom,1,negative
stuck buggy,1,negative
stuck burning,1,negative
stuck confused,1,negative
stuck crashed,1,negative
stuck crashing,1,negative
stuck death,1,negative
stuck die,1,negative
stuck dies,1,negative
stuck dragging,1,negative
stuck drones,1,negative
stuck dumb,1,negative
stuck failed,1,negative
stuck fall,1,negative
stuck freeze,1,negative
stuck freezes,1,negative
stuck frustrates,1,negative
stuck funny,1,negative
stuck hating,1,negative
stuck idle,1,negative
stuck incapable,1,negative
stuck incessantly,1,negative
stuck incomplete,1,negative
stuck jitter,1,negative
stuck lack,1,negative
stuck lag,1,negative
stuck loathing,1,negative
stuck loot,1,negative
stuck lost,1,negative
stuck lying,1,negative
stuck motionless,1,negative
stuck overpriced,1,negative
stuck pig,1,negative
stuck poorly,1,negative
stuck rip,1,negative
stuck ruins,1,negative
stuck stealing,1,negative
stuck straining,1,negative
stuck sucks,1,negative
stuck tediously,1,negative
stuck uncertain,1,negative
stuck unrealistic,1,negative
stuck waste,1,negative
stuck wasted,1,negative
stuck weird,1,negative
stuck worst,1,negative
stumble fall,1,negative
stumbled badly,1,negative
stumped insultingly,1,negative
stumped unable,1,negative
stun bleed,1,negative
stun blind,1,negative
stun bug,1,negative
