appid,name,release_date,developer,publisher,free_to_play,virtual_reality_support,controller_support,steam_workshop,singleplayer,multiplayer,is_open_world,is_rogue_like,is_metroidvania,is_visual_novel,has_great_soundtrack,is_shooter,is_rpg,has_female_protagonist,is_sports,windows_support,mac_support,linux_support,required_age,categories,genres,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews
383120,Empyrion - Galactic Survival,2015-08-05,Eleon Game Studios,Eleon Game Studios,FALSE,FALSE,No,TRUE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Co-op;Steam Workshop;Partial Controller Support,Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Survival;Open World,0,Positive,11061,2777,495,739,500k to 1M,14.99,13838
374040,Portal Knights,2017-05-18,Keen Games,505 Games,FALSE,FALSE,No,TRUE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud,Action;Adventure;RPG,Adventure;Open World;Sandbox,29,Positive,10837,2531,1241,1247,500k to 1M,14.99,13368
259080,Just Cause 2: Multiplayer Mod,2013-12-16,Avalanche Studios,Square Enix,FALSE,FALSE,No,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player;Steam Achievements;Partial Controller Support,Action;Adventure,Open World;Multiplayer;Action,20,Positive,12261,1099,431,223,1M to 2M,0,13360
22300,Fallout 3,2008-10-28,Bethesda Game Studios,Bethesda Softworks,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Partial Controller Support,RPG,Open World;Post-apocalyptic;RPG,0,Positive,9921,2709,588,617,500k to 1M,7.99,12630
9480,Saints Row 2,2009-01-07,Volition,Deep Silver,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,Single-player;Steam Cloud,Action,Open World;Action;Character Customization,0,Positive,9442,2881,322,81,2M to 5M,9.99,12323
224600,Defiance,2014-06-04,Trion Worlds,Trion Worlds,TRUE,FALSE,No,FALSE,FALSE,Online only,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Multi-player;MMO;Co-op;Steam Trading Cards;Partial Controller Support,Action;Free to Play;Massively Multiplayer;RPG,Free to Play;Action;Open World,0,Positive,9150,2808,953,324,2M to 5M,0,11958
666140,My Time At Portia,2019-01-15,Pathea Games,Team17 Digital Ltd,FALSE,FALSE,Full,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG;Simulation,Open World;Crafting;RPG,91,Positive,10695,1108,2094,2114,500k to 1M,24.99,11803
332310,LEGO® Worlds,2017-03-07,TT Games;Traveller's Tales,Warner Bros. Interactive Entertainment,FALSE,FALSE,Full,FALSE,TRUE,Online + Co-op,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Online Multi-Player;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Adventure,LEGO;Open World;Building,71,Positive,9013,2738,723,783,500k to 1M,24.99,11751
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,GSC Game World,GSC Game World,FALSE,FALSE,No,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player,Action;RPG,Atmospheric;Post-apocalyptic;Open World,0,Extremely Positive,11039,570,493,360,1M to 2M,9.99,11609
223100,Homefront®: The Revolution,2016-05-19,Dambuster Studios,Deep Silver,FALSE,FALSE,Full,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Stats,Violent;Action;Adventure,Action;FPS;Open World,74,Mostly Positive,6396,5102,408,484,500k to 1M,24.99,11498
